,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
405,179,52kin86c9pum15_data.csv,2,30,Female,American,English,2,05,They were playing together but it seemed as the child on the left was less interested in what the child on the right was doing and started playing alone.,1,2,3,1,1,1,2,3,1,1,1,2,3,3,3,3,1,1,1,3,2,1,3,3,1,1,1,3,3,1,0,-2,1,1,0,-2,1,-1,0,2,0,2,0,-2,2,0,1,-1,0,2,0,-2,2,0,2,0
406,179,52kin86c9pum15_data.csv,2,30,Female,American,English,3,02,They seem to be interacting well and looked like they enjoyed playing together and were both interested in what the other was doing.,1,3,1,3,1,1,3,3,1,1,2,2,3,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,0,0,2,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,-2,0,-2
407,179,52kin86c9pum15_data.csv,2,30,Female,American,English,4,03,They were both playing nicely together and also interacting and taking turns with one another.,1,1,1,3,1,1,3,3,1,1,3,3,3,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,2,0,2,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,-2,0,-2
420,131,54kinfb0l4yzwj_data.csv,2,33,Male,American,English,1,06,They seemed calm and friendly. They were interacting with the device.,4,4,3,2,1,2,4,1,0,3,1,2,1,1,4,0,4,2,4,0,1,2,3,0,0,2,1,1,1,2,1,-1,3,1,3,-1,1,-1,0,-2,4,0,2,2,4,0,1,-1,3,-1,2,-2,0,-2,1,-1
421,131,54kinfb0l4yzwj_data.csv,2,33,Male,American,English,2,07,They talked to each other quite a lot.,3,1,0,2,1,2,0,2,4,1,1,1,0,0,3,1,3,2,4,1,4,4,4,4,2,4,4,1,3,1,1,-1,2,-2,3,1,0,-2,0,-4,2,0,1,1,3,1,0,4,0,4,2,2,3,1,2,0
422,131,54kinfb0l4yzwj_data.csv,2,33,Male,American,English,3,12,"The kids looked like they were playing some sort of game, maybe a two-player game.",1,3,3,3,2,4,2,2,4,0,2,0,2,1,2,0,3,1,1,4,2,0,3,3,1,0,3,0,0,4,2,2,0,0,4,0,2,-2,1,-1,2,-2,2,0,3,1,2,-2,0,2,1,-3,3,-1,4,0
423,131,54kinfb0l4yzwj_data.csv,2,33,Male,American,English,4,14,"The kids looked like they were playing some sort of game, maybe a two-player game.",4,2,1,3,0,4,4,2,0,1,4,2,2,2,3,0,1,1,4,3,2,1,3,3,2,3,2,3,4,0,4,0,2,2,1,-3,2,2,0,0,3,-1,0,-2,1,3,1,-1,0,2,1,1,1,1,4,0
440,177,56kinhvyt55qny_data.csv,2,26,Female,Indian,Tamil,1,05,they are playing with the touch pad.,3,2,3,0,3,1,3,2,2,2,3,2,2,1,3,2,3,2,2,3,2,0,3,1,1,2,1,3,3,2,2,0,1,1,0,0,1,1,1,-1,1,1,1,1,1,1,2,-2,2,0,1,-1,2,0,1,1
441,177,56kinhvyt55qny_data.csv,2,26,Female,Indian,Tamil,2,16,they are discussing with the map.,1,2,2,3,1,1,2,1,2,1,2,2,3,3,3,2,2,1,2,3,0,0,1,2,2,1,2,1,2,3,0,-2,1,-1,1,-1,0,0,0,2,1,1,1,-1,1,1,0,-4,1,-1,1,-1,1,-1,1,1
442,177,56kinhvyt55qny_data.csv,2,26,Female,Indian,Tamil,3,20,they two guys are playing with the map.,1,3,1,3,2,1,2,2,1,0,3,3,1,2,2,2,2,1,2,1,2,2,0,0,3,2,1,1,2,2,1,-1,0,0,1,-3,0,2,1,-1,0,0,1,-1,1,-1,0,0,0,-4,1,1,0,-2,0,0
443,177,56kinhvyt55qny_data.csv,2,26,Female,Indian,Tamil,4,18,they play with the touch pad.,1,2,2,1,3,1,1,4,2,2,2,2,1,1,2,3,1,1,2,3,3,0,3,0,2,2,1,2,2,2,2,0,3,1,0,0,0,0,0,-2,1,1,0,-2,1,1,3,-1,3,-1,0,0,1,-1,0,0
444,126,56kinovq24ftj9_data.csv,2,41,Male,American,English,1,10,The both seemed very happy and to be getting along very well with each other. They also seemed to like whatever it was that they were doing on the touch screen very much.,2,3,1,3,0,0,4,4,0,0,3,3,1,1,3,3,1,1,4,4,0,0,0,0,0,0,1,1,1,1,0,-4,0,4,0,-4,0,2,0,-2,0,2,0,-2,0,4,0,-4,0,-4,0,-4,0,-2,0,-2
445,126,56kinovq24ftj9_data.csv,2,41,Male,American,English,2,19,Both children seemed to be very interested in what they were doing. They were very focused on the screen/table. They were also very calm.,2,3,1,3,1,1,2,2,1,1,1,1,3,3,3,3,1,1,3,3,1,1,2,2,1,1,1,2,2,1,0,-2,0,0,0,-2,0,-2,0,2,0,2,0,-2,0,2,0,-2,0,0,0,-2,1,-1,1,-1
