,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
642,57,84kinyfq323qbe_data.csv,1,36,Male,Indian,Hindi,3,15,although they are working seprately but in between they are interacting with each other,3,1,2,3,1,1,1,1,1,3,1,3,3,1,3,1,1,3,3,3,1,1,1,1,1,3,1,3,2,2,0,-2,0,-2,2,0,2,0,2,0,2,0,2,0,0,2,0,-2,0,-2,2,0,2,0,0,0
643,57,84kinyfq323qbe_data.csv,1,36,Male,Indian,Hindi,4,19,they both are working together and doing good coperation with each other,1,3,1,3,1,1,3,3,1,1,3,3,3,3,3,3,0,0,3,3,0,0,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,2,0,2,0,2,0,-4,0,2,0,-4,0,-2,0,-2,0,-2,0,-2
648,58,86kin4bduq3wso_data.csv,1,30,Male,Indian,Tamil,1,01,The children are actively playing with each other. They are very happy.,4,3,0,4,0,0,3,3,0,1,3,4,1,1,3,1,1,4,4,4,0,0,1,0,1,0,1,1,1,1,0,-4,0,2,1,-3,1,3,0,-2,2,0,3,1,0,4,0,-4,1,-3,1,-3,0,-2,0,-2
649,58,86kin4bduq3wso_data.csv,1,30,Male,Indian,Tamil,2,20,The children are playing very interestingly. The child on the left side plays actively.,4,3,1,4,1,0,3,1,1,1,3,0,0,3,3,3,4,1,3,3,0,1,0,1,1,1,3,0,1,3,1,-3,2,0,0,-2,3,-1,3,-1,0,2,3,1,0,2,1,-3,1,-3,0,-2,3,-1,2,0
650,58,86kin4bduq3wso_data.csv,1,30,Male,Indian,Tamil,3,02,Both the children are playing well. The child on the right side plays actively.,4,3,1,4,1,0,3,4,1,1,3,4,3,1,3,3,1,3,3,4,1,1,1,1,0,1,0,4,3,0,1,-3,1,3,0,-2,1,3,2,0,0,2,2,0,1,3,0,-2,0,-2,1,-3,4,0,3,-1
651,58,86kin4bduq3wso_data.csv,1,30,Male,Indian,Tamil,4,17,I think both the children are arguing with each other. The child on the left side is unhappy.,1,3,0,4,3,0,1,3,3,0,1,4,1,1,3,0,1,4,4,4,3,0,1,1,3,1,0,4,3,0,3,-1,2,0,3,-1,3,1,0,-2,3,-1,3,1,0,4,3,-1,0,-2,2,0,4,0,3,-1
656,59,87kin13e20xqpb_data.csv,1,30,Male,American,English,1,14,they are playful,4,4,3,1,1,1,4,4,1,2,3,4,1,2,4,4,3,3,3,4,2,2,1,1,1,2,3,4,3,4,0,-2,0,4,1,-1,1,3,1,-1,0,4,0,2,1,3,0,0,0,-2,1,-1,1,3,1,3
657,59,87kin13e20xqpb_data.csv,1,30,Male,American,English,2,07,was good,4,4,1,4,3,2,4,4,4,3,3,3,2,2,4,4,4,4,4,4,1,2,2,1,1,2,4,4,2,1,1,1,0,4,1,3,0,2,0,0,0,4,0,4,0,4,1,-1,1,-1,1,-1,0,4,1,-1
658,59,87kin13e20xqpb_data.csv,1,30,Male,American,English,3,13,they seem happy,3,4,4,2,4,3,3,2,3,4,4,2,3,4,2,3,3,3,3,3,4,3,3,3,3,2,4,3,2,3,1,3,1,1,1,3,2,2,1,3,1,1,0,2,0,2,1,3,0,2,1,1,1,3,1,1
659,59,87kin13e20xqpb_data.csv,1,30,Male,American,English,4,11,hey enjoy playing together,4,4,3,3,4,4,3,4,4,4,3,3,4,4,3,2,3,3,3,3,2,4,2,3,4,3,2,3,2,3,0,4,1,3,0,4,0,2,0,4,1,1,0,2,0,2,2,2,1,1,1,3,1,1,1,1
